KEGG,gene_names
ko00052,PA1384
ko02025,PA1385
ko02010,PA1386
NA,PA1387
NA,PA1388
NA,PA1389
NA,PA1390
NA,PA1391
NA,PA1392
ko00230,PA1393
NA,PA1395
NA,PA1396
NA,PA1397
NA,PA1399
NA,PA1400
NA,PA1401
NA,PA1402
NA,PA1403
NA,PA1404
NA,PA1405
NA,PA1406
NA,PA1407
NA,PA1408
NA,PA1409
ko02010,PA1410
NA,PA1411
NA,PA1412
NA,PA1413
NA,PA1414
NA,PA1415
ko00630,PA1416
ko00290,PA1417
NA,PA1418
NA,PA1419
NA,PA1420
ko00330,PA1421
NA,PA1422
ko02020,PA1423
NA,PA1424
NA,PA1425
NA,PA1428
NA,PA1429
ko02024,PA1430
NA,PA1431
ko00270,PA1432
NA,PA1433
NA,PA1434
NA,PA1435
NA,PA1436
ko02020,PA1437
ko02020,PA1438
NA,PA1439
NA,PA1440
ko02040,PA1441
NA,PA1442
ko02030,PA1443
ko02030,PA1444
ko02040,PA1445
ko02040,PA1446
ko02040,PA1447
ko02040,PA1448
ko02040,PA1449
NA,PA1450
NA,PA1451
ko02040,PA1452
NA,PA1453
NA,PA1454
ko02020,PA1455
ko02020,PA1456
ko02030,PA1457
ko02020,PA1458
ko02020,PA1459
ko02020,PA1460
ko02030,PA1461
NA,PA1462
ko02020,PA1463
ko02020,PA1464
NA,PA1465
ko00480,PA1466
NA,PA1467
NA,PA1468
NA,PA1469
ko00061,PA1470
NA,PA1471
NA,PA1472
NA,PA1473
NA,PA1474
ko02010,PA1475
ko02010,PA1476
ko02010,PA1477
ko02010,PA1478
NA,PA1479
NA,PA1480
NA,PA1481
NA,PA1482
NA,PA1483
NA,PA1484
NA,PA1485
NA,PA1486
ko00561,PA1487
NA,PA1488
ko00564,PA1489
NA,PA1490
NA,PA1491
NA,PA1492
ko00920,PA1493
NA,PA1494
NA,PA1495
NA,PA1496
NA,PA1497
ko00010,PA1498
ko00030,PA1499
ko00630,PA1500
ko00630,PA1501
ko00630,PA1502
NA,PA1503
NA,PA1504
ko00790,PA1505
NA,PA1506
NA,PA1507
NA,PA1508
NA,PA1509
NA,PA1510
ko03070,PA1511
ko02025,PA1512
NA,PA1513
ko00230,PA1514
ko00230,PA1515
NA,PA1516
ko00230,PA1517
ko00230,PA1518
NA,PA1519
NA,PA1520
ko00230,PA1521
NA,PA1522
ko00230,PA1523
ko00230,PA1524
ko00071,PA1525
NA,PA1526
NA,PA1527
NA,PA1528
ko03030,PA1529
NA,PA1530
NA,PA1531
ko00230,PA1532
NA,PA1533
ko03440,PA1534
ko00071,PA1535
NA,PA1536
ko00071,PA1537
ko00930,PA1538
NA,PA1539
NA,PA1540
NA,PA1541
NA,PA1542
ko00230,PA1543
NA,PA1544
NA,PA1545
ko00860,PA1546
NA,PA1547
NA,PA1548
NA,PA1549
NA,PA1550
NA,PA1551
ko00190,PA1552
ko00190,PA1553
ko00190,PA1554
ko00190,PA1555
ko00190,PA1556
ko00190,PA1557
NA,PA1558
NA,PA1560
ko02020,PA1561
ko00020,PA1562
NA,PA1563
ko04122,PA1564
NA,PA1565
ko00220,PA1566
NA,PA1567
NA,PA1568
ko02020,PA1569
NA,PA1570
NA,PA1571
NA,PA1572
NA,PA1573
ko00230,PA1574
NA,PA1575
ko00280,PA1576
NA,PA1577
NA,PA1578
NA,PA1579
ko00020,PA1580
ko00020,PA1581
ko00020,PA1582
ko00020,PA1583
ko00020,PA1584
ko00020,PA1585
ko00020,PA1586
ko00010,PA1587
ko00020,PA1588
ko00020,PA1589
NA,PA1590
NA,PA1591
NA,PA1593
NA,PA1594
NA,PA1595
ko04141,PA1596
NA,PA1597
ko00770,PA1598
NA,PA1599
NA,PA1600
NA,PA1601
ko00760,PA1602
NA,PA1603
NA,PA1604
NA,PA1605
NA,PA1606
NA,PA1607
ko02020,PA1608
ko00061,PA1609
ko00061,PA1610
ko02020,PA1611
NA,PA1612
NA,PA1613
ko00564,PA1614
NA,PA1615
NA,PA1616
NA,PA1617
ko00130,PA1618
NA,PA1619
NA,PA1620
NA,PA1621
NA,PA1622
NA,PA1623
NA,PA1624
NA,PA1625
NA,PA1626
NA,PA1627
ko00360,PA1628
ko00071,PA1629
NA,PA1630
ko00930,PA1631
ko02020,PA1633
ko02020,PA1634
ko02020,PA1635
ko02020,PA1636
ko02020,PA1637
ko00220,PA1638
NA,PA1639
NA,PA1640
NA,PA1641
ko00450,PA1642
NA,PA1643
NA,PA1644
NA,PA1645
ko02020,PA1646
NA,PA1647
NA,PA1648
NA,PA1649
NA,PA1650
NA,PA1651
NA,PA1652
NA,PA1653
NA,PA1654
ko00480,PA1655
NA,PA1656
ko02025,PA1657
ko02025,PA1658
NA,PA1659
NA,PA1660
ko02025,PA1661
ko02025,PA1662
NA,PA1663
NA,PA1664
NA,PA1665
ko03070,PA1666
ko02025,PA1667
ko03070,PA1668
ko02025,PA1669
ko02025,PA1670
NA,PA1671
NA,PA1672
NA,PA1673
ko00790,PA1674
NA,PA1675
NA,PA1676
NA,PA1677
NA,PA1678
NA,PA1679
NA,PA1680
ko00400,PA1681
NA,PA1682
